trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
116,False,"{'a': 0.1, 'e': 0.9933947843142158}",25,2,-98.82538129585944,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 1}",1
117,False,"{'a': 0.1, 'e': 0.9932795409475959}",20,0,-182.25788769032718,"{0: 7, 1: 4, 2: 3, 3: 5, 4: 1}",0
118,False,"{'a': 0.1, 'e': 0.9931633043015177}",20,0,-155.0383117649122,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
119,False,"{'a': 0.1, 'e': 0.993046074492218}",25,0,-99.03240637296308,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
120,False,"{'a': 0.1, 'e': 0.9929278516369265}",20,12,-24.514690317178392,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
121,False,"{'a': 0.1, 'e': 0.9928086358538663}",20,0,-175.25423699357628,"{0: 8, 1: 2, 2: 4, 3: 5, 4: 1}",0
122,False,"{'a': 0.1, 'e': 0.9926884272622528}",20,0,-121.38804163375657,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
123,False,"{'a': 0.1, 'e': 0.9925672259822949}",20,0,-136.77334134788677,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
124,False,"{'a': 0.1, 'e': 0.9924450321351935}",25,0,-182.38056997958986,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
125,False,"{'a': 0.1, 'e': 0.9923218458431429}",20,0,-110.45604386944679,"{0: 14, 1: 2, 2: 0, 3: 2, 4: 2}",0
126,False,"{'a': 0.1, 'e': 0.992197667229329}",25,0,-148.53388729170555,"{0: 19, 1: 0, 2: 1, 3: 2, 4: 3}",0
127,False,"{'a': 0.1, 'e': 0.9920724964179307}",20,0,-95.73143416522811,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
128,False,"{'a': 0.1, 'e': 0.9919463335341185}",20,0,-61.93990882647855,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
129,False,"{'a': 0.1, 'e': 0.9918191787040556}",20,4,-30.10323240852632,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
130,False,"{'a': 0.1, 'e': 0.9916910320548965}",25,0,-108.3352446947052,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
131,False,"{'a': 0.1, 'e': 0.9915618937147881}",25,0,-125.81022455136848,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
132,False,"{'a': 0.1, 'e': 0.9914317638128685}",25,0,-156.38179411717138,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",0
133,False,"{'a': 0.1, 'e': 0.9913006424792677}",20,0,-112.4763565581599,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
134,False,"{'a': 0.1, 'e': 0.9911685298451072}",20,0,-55.86436419055344,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
135,False,"{'a': 0.1, 'e': 0.9910354260424993}",25,0,-34.7684326610208,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
136,False,"{'a': 0.1, 'e': 0.9909013312045479}",20,0,-117.73631804056484,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
137,False,"{'a': 0.1, 'e': 0.990766245465348}",20,0,-89.53222136356764,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
138,False,"{'a': 0.1, 'e': 0.9906301689599851}",20,0,-147.49314092722975,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
139,False,"{'a': 0.1, 'e': 0.9904931018245359}",20,0,-143.80269921496452,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
140,False,"{'a': 0.1, 'e': 0.9903550441960673}",25,0,-83.63772538376048,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
141,False,"{'a': 0.1, 'e': 0.9902159962126371}",25,0,-161.35762824989922,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
142,False,"{'a': 0.1, 'e': 0.9900759580132933}",25,0,-206.9212933114999,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
143,False,"{'a': 0.1, 'e': 0.9899349297380738}",20,0,-125.46774478508573,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
144,False,"{'a': 0.1, 'e': 0.9897929115280072}",20,0,-93.34418541819656,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
145,False,"{'a': 0.1, 'e': 0.9896499035251115}",30,0,-206.2028994869129,"{0: 15, 1: 3, 2: 7, 3: 3, 4: 2}",0
146,False,"{'a': 0.1, 'e': 0.9895059058723947}",20,9,-131.08276737760445,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 3}",1
147,False,"{'a': 0.1, 'e': 0.9893609187138546}",25,0,-124.94428823990143,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
148,False,"{'a': 0.1, 'e': 0.9892149421944781}",25,0,-143.01423607140666,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
149,False,"{'a': 0.1, 'e': 0.989067976460242}",25,0,-227.95104652129885,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 5}",0
150,False,"{'a': 0.1, 'e': 0.9889200216581118}",20,7,-52.11195619954358,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 1}",1
151,False,"{'a': 0.1, 'e': 0.9887710779360422}",20,0,-155.3748946227988,"{0: 9, 1: 5, 2: 2, 3: 2, 4: 2}",0
152,False,"{'a': 0.1, 'e': 0.9886211454429773}",25,0,-123.35294630206646,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
153,False,"{'a': 0.1, 'e': 0.9884702243288492}",25,6,-94.28804020109669,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 1}",1
154,False,"{'a': 0.1, 'e': 0.9883183147445792}",25,0,-123.81841520161261,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
155,False,"{'a': 0.1, 'e': 0.9881654168420767}",20,0,-146.5122842003763,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
156,False,"{'a': 0.1, 'e': 0.9880115307742399}",25,0,-112.89697660070911,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
157,False,"{'a': 0.1, 'e': 0.9878566566949545}",20,0,-117.34474336435329,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
158,False,"{'a': 0.1, 'e': 0.9877007947590948}",20,0,-128.36065776994127,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
159,False,"{'a': 0.1, 'e': 0.9875439451225226}",20,0,-43.03829150914567,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
160,False,"{'a': 0.1, 'e': 0.9873861079420876}",20,0,-149.09229512323435,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
161,False,"{'a': 0.1, 'e': 0.9872272833756269}",25,0,-90.06851386641979,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
162,False,"{'a': 0.1, 'e': 0.9870674715819652}",25,9,-168.7467866555432,"{0: 7, 1: 2, 2: 3, 3: 1, 4: 3}",1
163,False,"{'a': 0.1, 'e': 0.986906672720914}",20,0,-194.2541115439385,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 3}",0
164,False,"{'a': 0.1, 'e': 0.9867448869532726}",20,0,-129.30374397211932,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
165,False,"{'a': 0.1, 'e': 0.9865821144408262}",25,0,-135.17901795313173,"{0: 13, 1: 6, 2: 2, 3: 3, 4: 1}",0
166,False,"{'a': 0.1, 'e': 0.9864183553463477}",20,5,-59.910195295567924,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 1}",1
167,False,"{'a': 0.1, 'e': 0.986253609833596}",30,0,-185.43376373081526,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
168,False,"{'a': 0.1, 'e': 0.9860878780673167}",20,14,-21.390428132669587,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
169,False,"{'a': 0.1, 'e': 0.9859211602132415}",30,3,-208.32431794478623,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 4}",1
170,False,"{'a': 0.1, 'e': 0.9857534564380882}",20,12,-66.26708173767942,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 1}",1
171,False,"{'a': 0.1, 'e': 0.9855847669095608}",20,0,-139.27081794669672,"{0: 9, 1: 4, 2: 3, 3: 3, 4: 1}",0
172,False,"{'a': 0.1, 'e': 0.9854150917963483}",20,0,-143.51034066581644,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
173,False,"{'a': 0.1, 'e': 0.9852444312681263}",20,0,-143.24107335272615,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
174,False,"{'a': 0.1, 'e': 0.9850727854955552}",20,0,-98.84710698931168,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
175,False,"{'a': 0.1, 'e': 0.9849001546502806}",30,7,-167.76012003196843,"{0: 10, 1: 5, 2: 4, 3: 2, 4: 2}",1
176,False,"{'a': 0.1, 'e': 0.9847265389049334}",25,0,-69.57725432555674,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
177,False,"{'a': 0.1, 'e': 0.9845519384331295}",20,0,-118.43391442119051,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
178,False,"{'a': 0.1, 'e': 0.984376353409469}",30,0,-121.48353662710855,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
179,False,"{'a': 0.1, 'e': 0.9841997840095373}",20,0,-36.02863574343499,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
180,False,"{'a': 0.1, 'e': 0.9840222304099036}",20,0,-79.58878067745388,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
181,False,"{'a': 0.1, 'e': 0.9838436927881214}",20,0,-80.19414475531383,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
182,False,"{'a': 0.1, 'e': 0.9836641713227284}",20,5,-74.9557722020317,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 1}",1
183,False,"{'a': 0.1, 'e': 0.9834836661932461}",20,0,-133.30692386555063,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
